labels,preds
1.0,0.9984988
1.0,0.9930962
1.0,0.39466748
1.0,0.8509647
1.0,0.9724148
1.0,0.9942697
1.0,0.34246156
1.0,0.89912134
1.0,0.041462276
1.0,0.94966936
1.0,0.99193794
1.0,0.9314625
1.0,0.9908744
1.0,0.9896718
1.0,0.6654106
1.0,0.9969246
1.0,0.51013047
1.0,0.9859364
1.0,0.9890131
1.0,0.6592955
1.0,0.9830851
1.0,0.9740426
1.0,0.98934746
1.0,0.21076629
1.0,0.93045825
1.0,0.81405276
1.0,0.98549646
1.0,0.98201376
1.0,0.9969246
1.0,0.9883128
1.0,0.99580115
1.0,0.9046505
1.0,0.8824279
1.0,0.9425068
1.0,0.89029425
1.0,0.9465967
1.0,0.20181322
1.0,0.84286314
1.0,0.950411
1.0,0.9968273
1.0,0.81640637
1.0,0.7049733
1.0,0.96641046
1.0,0.199308
1.0,0.9777139
1.0,0.89912134
1.0,0.8322367
1.0,0.9890131
1.0,0.8386798
1.0,0.9926542
1.0,0.99477994
1.0,0.99390244
1.0,0.9518632
1.0,0.61277324
1.0,0.91490096
1.0,0.9230392
1.0,0.015424554
1.0,0.8872046
1.0,0.65665823
1.0,0.3693151
1.0,0.9802808
1.0,0.9693242
1.0,0.9697854
1.0,0.9465967
1.0,0.5549529
1.0,0.99553156
1.0,0.6984323
1.0,0.9759464
1.0,0.98549646
1.0,0.28537196
1.0,0.99371004
1.0,0.008061992
1.0,0.91490096
1.0,0.10087861
1.0,0.91490096
1.0,0.9905874
1.0,0.92944044
1.0,0.4571367
1.0,0.590307
1.0,0.7879312
1.0,0.96323055
1.0,0.9805807
1.0,0.53461254
1.0,0.9811669
1.0,0.25091282
1.0,0.9407897
1.0,0.93721074
1.0,0.76065063
1.0,0.99193794
1.0,0.9930962
1.0,0.7401744
1.0,0.9787127
1.0,0.994089
1.0,0.48938146
1.0,0.12592275
1.0,0.9859364
1.0,0.4433594
1.0,0.9458012
1.0,0.8872046
1.0,0.89029425
1.0,0.9921841
